"","LOR","LUT","COE","UD","NWU","SC","CEN","WAR","BV"
"Series 1","","@ BV","v NWU","@ WAR","@ COE","@ CEN","v SC","v UD","v LUT"
"Series 2","v NWU","v CEN","v WAR","","@ LOR","v BV","@ LUT","@ COE","@ SC"
"Series 3","@ UD","@ SC","@ CEN","v LOR","","v LUT","v COE","v BV","@ WAR"
"Series 4","v BV","@ WAR","v SC","@ NWU","v UD","@ COE","","v LUT","@ LOR"
"Series 5","@ COE","","v LOR","@ BV","v CEN","@ WAR","@ NWU","v SC","v UD"
"Series 6","v WAR","@ UD","","v LUT","@ SC","v NWU","@ BV","@ LOR","v CEN"
"Series 7","@ SC","v NWU","@ BV","@ CEN","@ LUT","v LOR","v UD","","v COE"
"Series 8","@ LUT","v LOR","@ UD","v COE","v BV","","v WAR","@ CEN","@ NWU"
"Series 9","v CEN","v COE","@ LUT","v SC","v WAR","@ UD","@ LOR","@ NWU",""
